"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",2.5e+07,14433620.4102121,500,47500000,13.5000674848877,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816497034541852,1,3,0,Inf,NA
"lnPost",36780.3363812304,12078.1897759765,15466.549059,55944.926023,19288.2111782465,1.6036635634213,2.22127951656897
"lnDataL",-1443.32679497938,9.54807996782919,-1458.326576,-1426.485161,24718.0351037348,1.77743922121824,2.63052632421683
"lnPrbGParam",38223.663176261,12079.2045298699,16907.543351,57407.244518,19295.4278200072,1.60413553842388,2.22216110313742
"lnPrior",-103.577585940892,11.0350575741479,-123.758128,-83.76782,11109.1133342427,3.09197129390688,4.81325584955295
"treeintervals",4175.97426529821,1223.29771529618,1874,5993,26215.7900588217,1.67061825795355,2.33106253032456
"treelength",0.461304258314805,0.0631385067401263,0.324979,0.52513,5411.35515477995,2.42192937638168,4.20992022222709
"Theta_1",0.110798133514668,0.0293063871083097,0.03333,0.1439,4876.77902909221,2.18116290717101,3.13024224703655
"Theta_2",0.0116186384510512,0.0104606098950036,8.276e-05,0.03261,258947.236179551,1.11334611106872,1.24141840540937
"Theta_3",0.0107856744633113,0.0108657020519346,1.025e-05,0.03208,179912.638576242,1.09123503033062,1.18529180461514
"Theta_4",0.0210119464840982,0.023239227013619,3.406e-05,0.0733,291600.076175061,1.87405007154491,3.01431421415647
"Theta_5",0.0344432335209574,0.0233234730994347,0.00021958,0.07298,125542.563776794,2.40293032608607,3.41183401855548
"M_2_1_Into",5098.2495586682,5861.6305338824,0.06079,19869,7291.39076756472,7.51988644818842,13.9933000499035
"M_1_2_Out",277564.754694214,249242.831690683,27316,858145,25415.5828119119,2.00661305705741,3.34225298363659
"M_3_2",108515.463661884,160115.708746235,12.6982,464502,18200.3689885706,1.82254790496428,3.3633839563332
"M_2_3",286563.300684449,265891.813132754,0.264,806192,34299.4859148984,1.85784423341186,2.88168439072292
"M_4_3",303581.449532948,288308.151464715,1.476,871150,19812.6164663415,1.95913122419644,3.02969673316298
"M_3_4",112025.941008951,178002.282125815,0.5686,539800,44113.1092077784,1.66617627480316,3.17517211266354
"M_5_4",320023.47714455,291533.706898652,3.8321,879006,15388.7828349282,2.76986932106598,5.70163594696512
"M_4_5",149464.532627387,233550.49296537,0.00459,657633,3029.65546953269,2.79052929049245,6.70995428293636
"mL_1.000000",-1445.36941904542,6.70528530419575,-1458.151359,-1438.649679,139.044671890124,24.0162860263491,41.4323398604162
"mL_1.500000",-1469.30620664879,6.30348487230351,-1479.773343,-1458.725197,28.5025868525707,4.29129553278287,18.3344815515032
"mL_3.000000",-1609.77476499553,2.71975679879353,-1614.1592,-1604.663681,215.564769068988,10.2527344031372,17.2962378846877
"mL_100000.000000",-3466.76216521571,40.2026942970598,-3563.385529,-3400.581709,49.8218997665822,3.73529199085502,6.84123823646726
"mL_thermo",-1845.02353857314,7.49474915854404,-1860.528728,-1829.912698,65.6560305716947,3.45688914230934,7.66245843745162
"mL_harmonic",-1468.63221009708,3.55249819332031,-1473.299644,-1463.004441,145.221087992767,2.28300323163674,12.4144299005087
"Nm_2_1",455.060069216838,377.962215038312,2.66773059e-05,1254.38257,5736.79084780161,2.61427778218529,4.57565699227794
"Nm_1_2",3088.72564619006,4542.96258144763,13.04545392,11491.43256,141684.988674603,1.20656033074894,1.48688368389209
"Nm_3_2",1143.80305325197,2553.27816607259,0.058489296,4955.89578,106013.178220111,1.31865868279193,1.95583328621155
"Nm_2_3",2704.32873630819,4576.96255754513,0.00684816,11531.56446,163138.509978327,1.16015117265193,1.35797995173202
"Nm_4_3",2818.08802363325,4836.71106700226,0.00549472,12164.7234,133735.073241292,1.1932806562225,1.44621746329398
"Nm_3_4",1302.66226727097,2802.80125609054,0.00047347322,5241.27312,156271.910504291,1.28794750400332,1.87508656935387
"Nm_5_4",3575.82478969204,5230.21504488044,0.027327105,13634.57255,153886.19341796,1.2176237851915,1.51968997776705
"Nm_4_5",1847.98245329974,3832.00532240269,0.0003466827,9054.54612,106966.01303996,1.47200562441555,2.45326286784077
