"","Mean","SD","lower","upper","ess","Point est.","Upper C.I."
"Steps",17499750,4330135.03529258,1e+07,24250000,13.500225032205,NA,NA
"Locus",1,0,1,1,0,NA,NA
"Replicate",2,0.816498092962632,1,3,0,Inf,NA
"lnPost",26350.5020823857,12186.9935216222,3895.687404,44358.493326,678.991069170797,1.12500606016129,1.25273422830346
"lnDataL",-1093.58092785836,8.27502744226869,-1110.767872,-1078.502336,7021.25584207895,1.00779188236299,1.01569088483438
"lnPrbGParam",27444.0830102422,12186.9920959158,4984.676622,45448.289965,679.009272856361,1.12501605439535,1.25275335201447
"lnPrior",-92.2650959378519,7.28492809077873,-106.419756,-79.035256,447.333773100479,1.21510282140988,1.42617022494432
"treeintervals",2568.8581,1064.23380328025,684,4171,696.889474769687,1.12665345617589,1.25546596485059
"treelength",0.0694109548814815,0.0165461788616922,0.040792,0.102765,3823.94915969478,1.07036005461733,1.14555063304012
"Theta_1",0.0150904542592593,0.00690206135844135,0.00466,0.02958,2034.00924927474,1.18591035102755,1.36996242709781
"Theta_2",0.0105575956433704,0.0101205233271393,1.776e-05,0.03072,125750.819360651,1.00700240779341,1.01509312699902
"Theta_3",0.0193784445727407,0.0152134585918962,0.00011806,0.04883,17192.0872320966,1.21098813450411,1.42023839705768
"Theta_4",0.0197762789040741,0.0158293963786688,6.307e-05,0.05042,12019.713194983,1.34735946854723,1.6848030698298
"M_1_2",197157.108192222,197298.822981193,19980,679437,531.209904748679,1.18570897919905,1.37791223705218
"M_3_2",579496.616200573,254757.261525466,136665,999996,579.395651636814,1.06112129351101,1.12731505917965
"M_4_2",582975.077199895,251823.092933063,141418,999952,527.143051115544,1.07880510895979,1.16467303953076
"M_2_3",198428.535758987,235591.816181669,2.0584,764085,217.844019000932,1.34838791093942,1.78085630422694
"M_4_3",277069.342853104,264580.411402642,51.4028,862336,232.844477157536,1.58249706295337,2.14174763931366
"M_2_4",181117.413500456,222105.287533314,1.12,700378,241.297308734583,1.35759315595779,1.81709485612514
"M_3_4",346189.475061632,313804.790943209,14.666,907100,216.407876895773,1.92207384688031,2.87931124372608
"mL_1.000000",-1093.57342897914,0.190289906292408,-1093.94172,-1093.229764,14.4255603317664,2.87976684275999,4.96600703318267
"mL_1.500000",-1136.76263810781,3.20754222678649,-1139.588371,-1130.925795,13.680272036437,16.6769955234625,35.3624928730598
"mL_3.000000",-1260.56405916544,0.3727710427086,-1261.383738,-1259.980186,9.64236463670864,6.30665273055442,10.4678290004737
"mL_100000.000000",-1406.66570533561,4.93965660940078,-1416.75929,-1399.189185,17.6968358179633,10.0075290892227,25.3929052369464
"mL_thermo",-1215.80208532793,1.42902523650918,-1218.188713,-1213.167031,15.8258913126897,16.2653668731901,33.8633571079202
"mL_harmonic",-1128.97227293826,1.28487262918351,-1130.721101,-1126.695134,26.3525707058924,11.6933021111305,33.7325455080477
"Nm_1_2",2023.22704626499,3437.85257184839,4.502025,7760.87276,2583.55198501169,1.0947239636026,1.18114550205769
"Nm_3_2",6013.1823671142,6827.66474944356,0.070974994,19460.72183,9064.52825014127,1.01235119908788,1.02468578024774
"Nm_4_2",6087.03463099666,6877.60991856124,0.022423716,19743.78464,7937.32883489095,1.01040560596813,1.02101511585909
"Nm_2_3",2535.34422244574,3968.42191702564,0.063439888,9662.79726,1638.98821988356,1.11847598144347,1.2523048109598
"Nm_4_3",3735.9541968311,4762.32551482824,0.420099579,12570.5304,2795.08235960407,1.13210924840945,1.28294650023768
"Nm_2_4",2295.30631116842,3799.78890033176,0.005427203375,9110.25258,1529.36387785381,1.13267591943909,1.2956177531615
"Nm_3_4",4282.58125550873,5628.71438902103,0.28051968,15365.4306,3798.50785532323,1.14648864840659,1.33062904287708
